r,n,date
24005,02 05 10 13 14 15 19 29,1/10/2024
24004,01 05 06 07 08 21 23 16,1/8/2024
24003,02 03 04 07 22 27 30 15,1/5/2024
24002,06 11 17 19 21 23 26 28,1/3/2024
24001,06 07 10 13 17 23 27 26,1/1/2024
23150,02 05 16 17 20 25 26 04,12/29/2023
23149,03 07 13 17 18 21 28 22,12/27/2023
23148,02 13 17 19 20 21 22 27,12/25/2023
23147,04 08 09 15 18 20 25 29,12/22/2023
23146,04 05 09 13 21 24 27 16,12/20/2023
23145,02 03 04 09 28 29 30 22,12/18/2023
23144,01 08 14 17 21 22 24 05,12/15/2023
23143,02 03 06 08 09 18 30 16,12/13/2023
23142,01 17 20 22 25 26 27 21,12/11/2023
23141,08 09 10 19 20 21 25 01,12/8/2023
23140,04 06 08 13 22 24 29 25,12/6/2023
23139,02 08 10 11 16 19 28 22,12/4/2023
23138,04 07 14 16 19 20 25 05,12/1/2023
23137,06 11 13 18 26 27 30 01,11/29/2023
23136,10 11 13 17 25 26 27 04,11/27/2023
23135,01 05 08 11 19 23 26 29,11/24/2023
23134,04 11 17 18 19 24 29 16,11/22/2023
23133,06 08 12 16 22 24 25 05,11/20/2023
23132,06 14 16 20 22 25 29 19,11/17/2023
23131,02 06 07 09 18 26 30 19,11/15/2023
23130,01 04 10 12 15 25 28 05,11/13/2023
23129,04 07 12 18 25 29 30 03,11/10/2023
23128,06 08 14 16 19 21 23 10,11/8/2023
23127,05 11 12 15 17 22 27 25,11/6/2023
23126,03 06 13 19 20 22 23 09,11/3/2023
23125,13 14 15 17 18 22 30 20,11/1/2023
23124,01 03 09 12 22 28 30 10,10/30/2023
23123,01 10 13 14 18 22 25 23,10/27/2023
23122,01 10 12 13 16 17 23 22,10/25/2023
23121,11 12 15 17 19 28 30 04,10/23/2023
23120,01 02 06 07 10 21 28 03,10/20/2023
23119,11 13 17 20 23 24 29 26,10/18/2023
23118,01 07 09 10 14 17 22 11,10/16/2023
23117,05 10 23 24 25 27 29 01,10/13/2023
23116,05 11 18 19 21 29 30 24,10/11/2023
23115,04 06 07 12 14 17 22 25,10/9/2023
23114,02 09 16 18 20 23 28 27,10/6/2023
23113,01 02 06 19 23 25 30 16,9/29/2023
23112,03 06 08 13 14 17 22 24,9/27/2023
23111,04 05 15 19 20 29 30 12,9/25/2023
23110,06 07 08 10 11 17 22 03,9/22/2023
23109,08 11 13 21 24 26 28 30,9/20/2023
23108,01 06 07 08 09 12 20 29,9/18/2023
23107,02 05 11 13 21 23 28 09,9/15/2023
23106,01 05 10 11 16 22 25 23,9/13/2023
23105,01 04 13 19 25 26 28 16,9/11/2023
23104,04 08 15 17 20 25 26 12,9/8/2023
23103,01 17 18 20 23 26 29 13,9/6/2023
23102,01 12 13 14 26 27 30 22,9/4/2023
23101,03 06 09 13 14 23 29 01,9/1/2023
23100,01 06 13 21 22 25 29 08,8/30/2023
23099,02 06 13 18 23 28 29 27,8/28/2023
23098,01 04 16 17 19 23 26 13,8/25/2023
23097,03 06 07 09 15 16 29 24,8/23/2023
23096,06 08 12 15 18 20 21 13,8/21/2023
23095,01 02 04 10 11 13 14 26,8/18/2023
23094,04 07 11 13 16 18 30 10,8/16/2023
23093,05 07 11 12 13 20 26 10,8/14/2023
23092,01 03 21 27 28 29 30 24,8/11/2023
23091,01 02 07 10 13 14 19 27,8/9/2023
23090,01 02 12 17 19 21 28 11,8/7/2023
23089,05 07 09 12 14 17 24 26,8/4/2023
23088,07 08 12 13 16 23 28 30,8/2/2023
23087,02 05 10 11 18 24 28 17,7/31/2023
23086,02 10 11 12 15 20 25 14,7/28/2023
23085,07 09 13 14 19 21 22 20,7/26/2023
23084,03 04 06 08 10 11 16 05,7/24/2023
23083,01 08 11 16 21 22 30 25,7/21/2023
23082,08 11 15 20 23 27 29 17,7/19/2023
23081,05 09 11 13 15 19 29 08,7/17/2023
23080,10 13 14 18 21 24 30 09,7/14/2023
23079,05 07 08 16 18 21 25 22,7/12/2023
23078,01 02 09 10 11 17 21 28,7/10/2023
23077,11 13 15 20 23 27 30 10,7/7/2023
23076,04 05 19 20 26 27 29 17,7/5/2023
23075,03 05 09 11 15 21 25 06,7/3/2023
23074,04 06 07 08 14 15 23 16,6/30/2023
23073,05 06 07 08 12 15 28 09,6/28/2023
23072,09 10 16 21 27 28 29 24,6/26/2023
23071,04 05 08 21 24 29 30 01,6/23/2023
23070,01 04 05 11 16 17 28 03,6/21/2023
23069,06 07 13 15 18 22 25 28,6/19/2023
23068,03 05 09 11 12 25 27 14,6/16/2023
23067,03 07 08 12 14 21 28 20,6/14/2023
23066,04 06 08 11 19 22 30 27,6/12/2023
23065,01 04 07 09 11 17 28 18,6/9/2023
23064,04 17 20 25 28 29 30 13,6/7/2023
23063,02 06 09 14 19 21 28 13,6/5/2023
23062,01 04 11 18 19 22 26 03,6/2/2023
23061,04 05 17 18 19 20 25 22,5/31/2023
23060,01 11 13 15 16 19 21 22,5/29/2023
23059,02 12 18 19 22 23 24 26,5/26/2023
23058,01 03 07 15 17 22 26 28,5/24/2023
23057,03 04 12 14 18 25 28 24,5/22/2023
23056,03 04 09 11 18 27 29 20,5/19/2023
23055,03 12 16 23 26 28 29 09,5/17/2023
23054,12 17 18 19 20 26 29 03,5/15/2023
23053,03 08 09 13 23 25 30 18,5/12/2023
23052,11 14 17 20 22 25 26 18,5/10/2023
23051,01 04 05 15 18 20 21 29,5/8/2023
23050,04 09 12 17 18 23 27 02,5/5/2023
23049,04 05 07 09 19 24 29 20,5/3/2023
23048,09 11 15 16 17 18 21 12,5/1/2023
23047,04 05 09 15 22 23 27 20,4/28/2023
23046,05 10 14 20 23 25 26 13,4/26/2023
23045,01 03 13 20 24 25 28 18,4/24/2023
23044,01 04 07 08 11 13 20 14,4/21/2023
23043,01 02 11 20 21 22 27 24,4/19/2023
23042,03 11 15 19 20 22 25 01,4/17/2023
23041,01 04 07 08 10 21 23 03,4/14/2023
23040,01 04 05 07 10 13 26 08,4/12/2023
23039,03 09 11 15 18 23 25 17,4/10/2023
23038,01 04 05 06 09 10 16 14,4/7/2023
23037,02 03 13 14 18 25 30 28,4/5/2023
23036,06 14 15 18 21 23 25 28,4/3/2023
23035,02 11 18 19 21 26 30 10,3/31/2023
23034,06 08 10 13 18 20 27 02,3/29/2023
23033,01 04 05 11 15 17 27 14,3/27/2023
23032,08 10 14 24 26 28 30 21,3/24/2023
23031,09 15 21 22 28 29 30 14,3/22/2023
23030,01 06 10 11 12 13 29 20,3/20/2023
23029,02 10 14 16 25 26 29 12,3/17/2023
23028,08 12 13 15 17 20 21 04,3/15/2023
23027,03 12 14 24 25 26 28 08,3/13/2023
23026,02 05 15 17 20 22 28 26,3/10/2023
23025,12 15 17 21 27 28 30 24,3/8/2023
23024,06 07 10 11 15 21 23 28,3/6/2023
23023,02 03 09 19 23 25 27 16,3/3/2023
23022,09 17 19 22 24 25 28 02,3/1/2023
23021,02 07 15 17 23 24 29 26,2/27/2023
23020,03 05 06 15 22 24 28 13,2/24/2023
23019,02 03 04 11 18 21 28 29,2/22/2023
23018,03 12 18 20 25 26 29 08,2/20/2023
23017,02 05 07 14 16 21 23 17,2/17/2023
23016,11 17 18 20 23 25 29 15,2/15/2023
23015,17 18 21 23 24 25 28 10,2/13/2023
23014,02 03 04 08 17 25 26 09,2/10/2023
23013,01 08 10 11 12 13 17 29,2/8/2023
23012,01 02 09 11 13 27 29 16,2/6/2023
23011,08 10 13 14 22 24 30 07,2/3/2023
23010,06 12 20 21 22 28 29 25,2/1/2023
23009,07 09 15 17 20 25 29 21,1/30/2023
23008,02 07 16 22 23 26 29 11,1/18/2023
23007,02 04 15 16 17 26 27 09,1/16/2023
23006,04 14 19 22 25 28 30 18,1/13/2023
23005,02 03 04 08 15 26 27 12,1/11/2023
23004,03 07 11 13 17 22 27 14,1/9/2023
23003,01 11 17 20 22 23 27 03,1/6/2023
23002,01 06 10 16 22 26 28 25,1/4/2023
23001,03 04 09 18 23 28 30 05,1/2/2023
22151,01 06 17 21 22 25 29 09,12/30/2022
22150,02 03 05 06 11 14 22 18,12/28/2022
22149,06 08 10 11 12 24 27 03,12/26/2022
22148,01 02 07 09 10 15 25 18,12/23/2022
22147,02 03 06 13 18 19 26 23,12/21/2022
22146,16 17 21 22 25 27 28 08,12/19/2022
22145,01 02 13 15 16 18 26 14,12/16/2022
22144,03 04 09 10 13 17 23 05,12/14/2022
22143,02 04 12 14 16 18 27 11,12/12/2022
22142,05 12 14 17 19 21 26 22,12/9/2022
22141,07 08 11 18 19 21 29 15,12/7/2022
22140,10 13 19 23 25 28 30 17,12/5/2022
22139,04 06 11 14 21 23 30 01,12/2/2022
22138,01 03 07 11 19 23 26 29,11/30/2022
22137,02 05 11 12 22 23 24 06,11/28/2022
22136,03 05 08 13 14 24 26 12,11/25/2022
22135,04 07 09 10 22 24 28 11,11/23/2022
22134,02 09 10 21 22 24 29 25,11/21/2022
22133,01 03 08 21 22 27 30 04,11/18/2022
22132,02 14 16 17 26 27 28 09,11/16/2022
22131,07 10 15 19 20 22 28 08,11/14/2022
22130,02 05 06 09 11 26 27 08,11/11/2022
22129,06 15 18 19 21 24 30 11,11/9/2022
22128,03 08 09 10 12 16 24 27,11/7/2022
22127,02 08 13 18 24 28 29 17,11/4/2022
22126,05 07 10 18 19 23 28 04,11/2/2022
22125,06 08 10 18 20 21 22 02,10/31/2022
22124,04 12 14 16 23 26 30 09,10/28/2022
22123,04 06 16 21 23 24 28 17,10/26/2022
22122,01 06 14 18 19 23 26 20,10/24/2022
22121,08 15 19 21 27 28 30 03,10/21/2022
22120,02 06 14 17 19 27 28 08,10/19/2022
22119,01 10 12 13 14 25 29 18,10/17/2022
22118,01 05 07 09 17 21 27 08,10/14/2022
22117,01 17 19 22 26 29 30 04,10/12/2022
22116,01 03 06 08 10 17 18 26,10/10/2022
22115,03 11 13 16 17 29 30 26,10/7/2022
22114,10 12 13 18 23 24 26 06,10/5/2022
22113,04 06 08 13 18 23 24 28,9/30/2022
22112,02 07 08 13 20 21 28 12,9/28/2022
22111,02 04 07 09 10 12 20 05,9/26/2022
22110,01 02 07 13 22 25 28 06,9/23/2022
22109,07 13 14 15 19 20 23 08,9/21/2022
22108,04 07 09 13 14 15 20 06,9/19/2022
22107,06 07 08 09 19 21 28 12,9/16/2022
22106,05 10 14 16 21 24 26 17,9/14/2022
22105,05 09 11 20 21 23 28 02,9/12/2022
22104,03 06 13 14 15 17 28 24,9/9/2022
22103,02 05 07 09 13 20 25 23,9/7/2022
22102,01 07 08 15 26 29 30 17,9/5/2022
22101,02 03 04 05 08 24 25 28,9/2/2022
22100,01 03 08 09 16 26 28 22,8/31/2022
22099,01 11 13 16 21 22 26 02,8/29/2022
22098,10 16 17 19 21 28 29 07,8/26/2022
22097,01 02 09 22 23 24 25 16,8/24/2022
22096,01 03 08 10 16 19 29 27,8/22/2022
22095,03 06 11 14 21 25 27 15,8/19/2022
22094,01 02 05 10 12 19 23 29,8/17/2022
22093,03 05 09 12 15 19 29 14,8/15/2022
22092,02 05 11 14 17 24 25 06,8/12/2022
22091,05 10 14 17 18 24 26 11,8/10/2022
22090,04 06 11 15 18 19 23 10,8/8/2022
22089,01 07 10 11 21 24 28 23,8/5/2022
22088,01 03 04 14 24 28 30 06,8/3/2022
22087,07 09 13 15 19 21 24 28,8/1/2022
22086,04 11 12 13 16 28 30 20,7/29/2022
22085,05 07 11 12 13 19 25 16,7/27/2022
22084,01 08 09 21 25 28 30 11,7/25/2022
22083,09 14 17 20 21 24 29 19,7/22/2022
22082,03 04 08 14 18 21 25 06,7/20/2022
22081,07 09 15 20 21 25 29 13,7/18/2022
22080,08 09 13 16 19 24 27 02,7/15/2022
22079,01 05 08 13 14 16 30 27,7/13/2022
22078,05 08 11 15 19 20 21 23,7/11/2022
22077,03 09 11 13 14 22 24 15,7/8/2022
22076,01 05 07 12 18 20 24 28,7/6/2022
22075,01 04 18 22 24 27 30 14,7/4/2022
22074,01 08 23 26 28 29 30 14,7/1/2022
22073,09 13 15 17 24 25 29 08,6/29/2022
22072,02 12 17 21 25 26 27 08,6/27/2022
22071,02 04 07 09 19 24 27 23,6/24/2022
22070,02 07 09 13 16 17 18 01,6/22/2022
22069,06 07 13 19 20 28 29 04,6/20/2022
22068,03 05 06 15 18 21 27 24,6/17/2022
22067,02 04 11 17 20 22 27 30,6/15/2022
22066,04 06 09 10 16 24 26 13,6/13/2022
22065,01 02 06 15 16 26 29 27,6/10/2022
22064,02 06 08 11 18 19 27 01,6/8/2022
22063,05 07 09 11 17 22 24 15,6/6/2022
22062,02 03 04 05 10 14 23 16,6/3/2022
22061,03 10 16 23 25 28 29 05,6/1/2022
22060,01 03 05 11 13 19 23 02,5/30/2022
22059,05 10 13 15 16 21 26 08,5/27/2022
22058,08 10 14 17 18 24 30 16,5/25/2022
22057,02 07 09 12 19 23 27 30,5/23/2022
22056,04 07 12 14 18 28 30 20,5/20/2022
22055,05 07 15 21 22 23 27 09,5/18/2022
22054,04 05 10 11 16 19 28 29,5/16/2022
22053,01 02 03 07 12 16 19 18,5/13/2022
22052,03 09 10 16 20 24 25 28,5/11/2022
22051,03 05 14 15 19 23 29 18,5/9/2022
22050,02 04 19 22 23 25 28 17,5/6/2022
22049,02 05 19 21 22 24 26 13,5/4/2022
22048,01 05 11 18 25 29 30 17,5/2/2022
22047,01 03 17 24 25 27 28 06,4/29/2022
22046,02 07 21 22 23 25 30 27,4/27/2022
22045,04 07 08 10 11 15 27 16,4/25/2022
22044,03 07 15 16 21 23 28 20,4/22/2022
22043,03 06 08 18 23 26 28 19,4/20/2022
22042,01 02 08 11 22 24 25 07,4/18/2022
22041,03 10 11 12 25 28 30 09,4/15/2022
22040,12 13 14 18 24 27 30 05,4/13/2022
22039,12 16 17 18 19 25 29 02,4/11/2022
22038,06 09 11 13 18 19 22 16,4/8/2022
22037,03 16 17 18 23 25 30 06,4/6/2022
22036,02 04 07 08 13 16 19 23,4/4/2022
22035,02 07 13 22 23 28 30 26,4/1/2022
22034,03 05 07 08 12 26 30 22,3/30/2022
22033,05 09 10 12 16 18 23 24,3/28/2022
22032,06 15 21 22 25 27 28 10,3/25/2022
22031,02 04 05 07 10 12 16 25,3/23/2022
22030,01 02 07 10 21 29 30 23,3/21/2022
22029,01 13 22 23 24 26 30 07,3/18/2022
22028,02 06 11 17 22 23 25 08,3/16/2022
22027,04 05 08 15 16 26 28 18,3/14/2022
22026,01 05 07 10 15 28 29 23,3/11/2022
22025,06 08 11 12 18 19 22 26,3/9/2022
22024,03 05 08 09 14 22 23 20,3/7/2022
22023,01 04 10 15 17 19 24 05,3/4/2022
22022,05 08 14 16 20 21 29 06,3/2/2022
22021,01 04 13 16 18 22 23 11,2/28/2022
22020,01 04 13 14 15 27 28 18,2/25/2022
22019,10 11 13 15 17 27 29 08,2/23/2022
22018,08 11 12 13 22 24 30 10,2/21/2022
22017,02 10 14 16 17 18 29 28,2/18/2022
22016,04 07 08 12 18 24 29 06,2/16/2022
22015,11 15 20 22 24 26 27 23,2/14/2022
22014,01 03 10 11 17 20 28 04,2/11/2022
22013,01 07 09 12 18 21 27 20,2/9/2022
22012,02 06 13 14 18 28 29 25,1/28/2022
22011,02 03 06 08 15 26 27 12,1/26/2022
22010,10 16 18 23 25 28 30 27,1/24/2022
22009,03 06 10 14 15 17 21 20,1/21/2022
22008,06 09 11 20 25 26 29 24,1/19/2022
22007,06 10 12 15 16 29 30 03,1/17/2022
22006,04 09 14 16 18 19 29 23,1/14/2022
22005,04 10 13 18 19 20 22 25,1/12/2022
22004,04 07 09 12 13 14 16 05,1/10/2022
22003,06 07 08 16 20 23 28 15,1/7/2022
22002,12 14 20 23 25 28 29 15,1/5/2022
22001,08 12 17 18 21 22 24 07,1/3/2022
21151,04 06 08 09 12 13 24 20,12/31/2021
21150,06 12 17 19 22 23 27 20,12/29/2021
21149,03 15 17 18 21 23 29 26,12/27/2021
21148,02 06 13 19 22 24 28 14,12/24/2021
21147,03 05 11 18 22 24 25 23,12/22/2021
21146,02 07 19 20 25 28 30 22,12/20/2021
21145,01 09 18 20 22 27 29 04,12/17/2021
21144,03 04 14 17 23 24 27 18,12/15/2021
21143,02 10 13 14 16 18 20 30,12/13/2021
21142,02 04 06 11 14 16 17 27,12/10/2021
21141,05 12 17 18 19 27 29 07,12/8/2021
21140,11 12 14 16 24 26 27 09,12/6/2021
21139,01 12 13 16 19 22 25 24,12/3/2021
21138,03 06 07 08 13 23 24 16,12/1/2021
21137,01 05 08 14 19 25 30 22,11/29/2021
21136,04 05 07 16 21 24 27 30,11/26/2021
21135,08 10 13 21 25 26 30 09,11/24/2021
21134,04 05 10 13 21 22 25 28,11/22/2021
21133,02 05 07 09 10 15 30 14,11/19/2021
21132,03 04 09 12 16 20 21 22,11/17/2021
21131,02 10 16 21 25 26 30 11,11/15/2021
21130,02 04 09 15 21 22 29 03,11/12/2021
21129,07 13 14 18 19 20 26 06,11/10/2021
21128,04 08 11 14 15 18 26 16,11/8/2021
21127,01 07 09 13 14 20 26 12,11/5/2021
21126,05 12 17 19 25 29 30 20,11/3/2021
21125,04 06 11 13 16 26 30 19,11/1/2021
21124,04 05 07 10 24 26 29 23,10/29/2021
21123,02 03 05 08 16 22 27 10,10/27/2021
21122,04 07 12 15 17 19 27 06,10/25/2021
21121,03 05 09 21 24 28 29 04,10/22/2021
21120,05 06 12 14 18 27 28 11,10/20/2021
21119,01 05 06 10 12 16 27 11,10/18/2021
21118,12 13 17 21 23 28 30 10,10/15/2021
21117,08 10 15 18 21 22 28 11,10/13/2021
21116,08 13 14 18 19 25 26 23,10/11/2021
21115,01 05 07 09 10 16 18 03,10/8/2021
21114,02 05 11 12 15 21 28 13,10/6/2021
21113,04 10 20 21 22 26 27 30,9/29/2021
21112,08 10 11 14 18 22 28 23,9/27/2021
21111,01 07 12 17 18 24 29 10,9/24/2021
21110,07 08 12 23 24 25 27 10,9/22/2021
21109,01 02 03 10 13 18 22 09,9/20/2021
21108,10 15 16 17 22 24 27 05,9/17/2021
21107,01 05 08 09 13 15 18 22,9/15/2021
21106,05 08 12 13 16 23 24 21,9/13/2021
21105,05 06 08 11 13 24 26 01,9/10/2021
21104,01 05 12 13 18 24 28 09,9/8/2021
21103,04 05 06 10 24 25 26 20,9/6/2021
21102,02 10 12 16 17 22 23 24,9/3/2021
21101,01 02 07 09 12 13 23 21,9/1/2021
21100,02 04 07 08 10 18 20 24,8/30/2021
21099,04 06 09 15 22 23 27 08,8/27/2021
21098,01 12 15 16 17 20 22 26,8/25/2021
21097,03 04 06 08 09 11 13 22,8/23/2021
21096,08 17 22 23 25 27 29 04,8/20/2021
21095,01 04 05 06 16 24 30 25,8/18/2021
21094,04 05 11 14 20 22 23 03,8/16/2021
21093,03 08 13 23 26 27 30 14,8/13/2021
21092,05 08 10 23 27 28 29 13,8/11/2021
21091,02 04 05 08 13 25 27 15,8/9/2021
21090,05 15 18 19 22 23 28 09,8/6/2021
21089,08 12 17 18 21 24 30 22,8/4/2021
21088,02 12 17 20 25 26 27 16,8/2/2021
21087,01 10 13 16 17 28 30 04,7/30/2021
21086,02 08 11 12 16 17 18 23,7/28/2021
21085,04 05 07 09 18 21 28 19,7/26/2021
21084,02 06 10 13 18 22 25 12,7/23/2021
21083,01 02 04 16 19 20 22 25,7/21/2021
21082,02 09 13 15 16 24 26 05,7/19/2021
21081,03 11 14 16 20 26 28 17,7/16/2021
21080,06 09 16 17 22 25 29 27,7/14/2021
21079,03 07 09 12 13 20 22 21,7/12/2021
21078,01 05 09 17 19 28 29 30,7/9/2021
21077,04 09 13 15 21 24 28 20,7/7/2021
21076,05 07 08 09 12 16 25 14,7/5/2021
21075,01 10 12 13 17 18 19 25,7/2/2021
21074,06 08 09 10 18 20 25 24,6/30/2021
21073,08 10 12 14 18 26 28 11,6/28/2021
21072,02 06 12 14 16 18 20 19,6/25/2021
21071,02 05 09 10 13 21 29 25,6/23/2021
21070,04 06 18 21 23 24 28 11,6/21/2021
21069,06 07 10 19 21 28 30 12,6/18/2021
21068,13 14 19 21 23 27 28 30,6/16/2021
21067,03 04 07 09 11 15 16 13,6/14/2021
21066,05 10 11 17 20 29 30 19,6/11/2021
21065,06 12 13 15 17 18 19 03,6/9/2021
21064,07 12 20 23 24 25 27 14,6/7/2021
21063,01 08 12 14 15 16 24 20,6/4/2021
21062,06 11 14 21 22 26 28 03,6/2/2021
21061,03 09 16 21 22 26 30 08,5/31/2021
21060,01 04 05 11 16 19 26 24,5/28/2021
21059,05 06 08 15 21 23 28 16,5/26/2021
21058,03 04 06 08 19 21 27 28,5/24/2021
21057,03 06 12 18 20 23 28 08,5/21/2021
21056,02 03 08 09 17 25 30 21,5/19/2021
21055,04 06 07 10 11 27 30 20,5/17/2021
21054,07 11 18 19 20 21 24 25,5/14/2021
21053,01 02 05 07 09 19 30 17,5/12/2021
21052,11 19 24 25 26 28 30 03,5/10/2021
21051,01 04 08 11 17 26 28 29,5/7/2021
21050,01 08 21 24 25 28 29 26,5/5/2021
21049,03 05 10 12 15 17 19 20,5/3/2021
21048,05 08 10 13 17 25 30 23,4/30/2021
21047,02 06 12 18 21 25 27 11,4/28/2021
21046,05 06 07 08 11 14 26 15,4/26/2021
21045,01 06 08 14 24 25 29 09,4/23/2021
21044,02 03 07 09 14 17 26 29,4/21/2021
21043,01 02 06 15 16 22 27 24,4/19/2021
21042,05 08 11 12 15 16 27 29,4/16/2021
21041,04 10 16 21 24 27 29 26,4/14/2021
21040,01 08 09 10 22 26 28 29,4/12/2021
21039,07 12 15 21 25 27 28 16,4/9/2021
21038,03 07 15 17 22 25 29 20,4/7/2021
21037,01 05 06 10 16 19 20 30,4/5/2021
21036,05 07 10 13 22 24 25 14,4/2/2021
21035,03 04 06 08 15 20 29 01,3/31/2021
21034,05 07 09 13 22 26 30 16,3/29/2021
21033,04 07 13 17 18 22 29 16,3/26/2021
21032,03 05 20 25 26 27 30 08,3/24/2021
21031,07 09 11 15 23 24 25 20,3/22/2021
21030,02 06 12 13 24 25 28 08,3/19/2021
21029,01 07 12 13 15 24 29 08,3/17/2021
21028,02 03 08 14 19 28 29 24,3/15/2021
21027,01 06 17 20 22 25 26 11,3/12/2021
21026,03 07 09 12 17 19 20 14,3/10/2021
21025,02 06 12 16 17 19 26 03,3/8/2021
21024,07 08 09 12 18 24 26 01,3/5/2021
21023,03 04 05 08 13 17 29 24,3/3/2021
21022,07 08 12 13 19 20 30 11,3/1/2021
21021,05 11 12 16 19 23 26 22,2/26/2021
21020,01 03 07 08 15 25 28 26,2/24/2021
21019,03 11 12 16 17 20 23 08,2/22/2021
21018,09 11 15 22 27 29 30 04,2/19/2021
21017,02 03 06 09 24 25 30 26,2/8/2021
21016,02 05 07 09 16 26 27 20,2/5/2021
21015,02 03 06 07 10 15 23 24,2/3/2021
21014,02 04 17 21 27 28 30 19,2/1/2021
21013,02 05 07 12 23 28 30 19,1/29/2021
21012,05 10 11 13 16 23 26 30,1/27/2021
21011,01 06 09 13 14 15 21 29,1/25/2021
21010,02 08 14 15 19 21 23 27,1/22/2021
21009,01 03 04 14 25 28 30 24,1/20/2021
21008,09 12 13 16 17 20 25 15,1/18/2021
21007,04 05 06 22 23 26 30 03,1/15/2021
21006,05 07 14 15 17 27 29 20,1/13/2021
21005,02 04 18 23 24 28 29 09,1/11/2021
21004,06 08 09 15 18 25 26 16,1/8/2021
21003,04 05 09 11 12 24 27 07,1/6/2021
21002,02 03 10 13 16 23 26 08,1/4/2021
21001,03 09 10 11 17 22 24 13,1/1/2021
20135,02 04 05 07 24 25 29 28,12/30/2020
20134,01 03 04 10 14 19 26 15,12/28/2020
20133,02 08 09 11 16 22 30 20,12/25/2020
20132,03 06 07 13 17 19 28 08,12/23/2020
20131,01 06 08 11 20 25 26 02,12/21/2020
20130,05 09 10 13 18 21 25 11,12/18/2020
20129,09 17 20 23 27 28 29 11,12/16/2020
20128,13 16 17 18 22 26 29 05,12/14/2020
20127,07 11 18 22 24 28 30 17,12/11/2020
20126,01 02 04 07 09 16 17 19,12/9/2020
20125,03 07 12 19 21 23 27 25,12/7/2020
20124,08 11 13 19 20 28 29 21,12/4/2020
20123,02 03 14 16 18 24 28 01,12/2/2020
20122,02 04 10 17 18 21 29 03,11/30/2020
20121,04 05 14 15 19 21 24 03,11/27/2020
20120,09 11 12 15 21 25 30 18,11/25/2020
20119,11 21 22 24 26 29 30 05,11/23/2020
20118,01 07 10 11 25 27 28 26,11/20/2020
20117,09 11 16 20 26 28 29 24,11/18/2020
20116,02 04 05 09 10 14 30 01,11/16/2020
20115,02 04 12 14 15 22 28 09,11/13/2020
20114,06 08 09 10 14 15 26 05,11/11/2020
20113,05 07 11 14 15 24 29 28,11/9/2020
20112,04 12 15 17 19 21 27 26,11/6/2020
20111,01 13 17 20 22 23 30 16,11/4/2020
20110,05 08 09 14 15 19 21 29,11/2/2020
20109,06 13 14 16 18 21 30 02,10/30/2020
20108,06 08 09 10 20 24 29 19,10/28/2020
20107,01 09 13 14 15 22 29 03,10/26/2020
20106,02 04 05 09 13 14 17 24,10/23/2020
20105,12 14 17 23 27 28 30 25,10/21/2020
20104,05 07 10 16 18 24 25 29,10/19/2020
20103,08 12 15 17 19 21 24 05,10/16/2020
20102,09 13 16 17 22 27 30 14,10/14/2020
20101,04 06 10 11 18 21 28 15,10/12/2020
20100,02 05 12 15 20 23 24 28,10/9/2020
