r,date,n1,n2,n3,n4,n5,n6,n7,n8,sum,median,consecutive,odd,ac,wuxing_ke,prime,partition,luckman
7001,20070103,4,14,19,22,26,29,30,11,144,22.0,1,2,15,2,2,6,1
7002,20070105,1,2,6,11,14,19,27,24,80,11.0,1,4,15,1,3,7,1
7003,20070108,6,8,10,21,25,28,29,11,127,21.0,1,3,16,2,1,5,1
7004,20070110,1,2,3,4,8,23,28,15,69,4.0,1,3,16,1,3,23,1
7005,20070112,1,3,8,18,25,27,29,13,111,18.0,0,5,15,2,2,5,1
7006,20070115,1,4,12,14,22,25,26,18,104,14.0,1,2,15,0,0,3,1
7007,20070117,2,3,11,15,19,24,28,12,102,15.0,1,4,13,1,4,2,1
7008,20070119,3,6,19,23,25,26,30,4,132,23.0,1,4,17,1,3,11,1
7009,20070122,1,4,12,19,22,23,25,21,106,19.0,1,4,16,2,2,3,1
7010,20070124,4,5,18,22,25,26,28,19,128,22.0,2,2,17,0,1,1,1
7011,20070126,11,16,17,20,21,27,28,30,140,20.0,3,4,13,2,2,10,1
7012,20070129,12,14,17,21,22,29,30,19,145,21.0,2,3,15,0,2,27,1
7013,20070131,4,8,12,16,20,24,28,19,112,16.0,0,0,6,0,0,3,1
7014,20070202,2,4,9,10,18,25,26,15,94,10.0,2,2,15,1,1,8,1
7015,20070205,1,2,5,11,14,16,21,23,70,11.0,1,4,17,2,3,36,1
7016,20070207,3,9,15,19,21,22,28,7,117,19.0,1,5,14,0,2,9,1
7017,20070209,3,4,5,7,13,22,25,27,79,7.0,1,5,16,1,4,7,1
7018,20070212,3,10,11,19,20,26,27,17,116,19.0,3,4,11,0,3,2,1
7019,20070214,4,7,10,11,17,22,30,24,101,11.0,1,3,17,1,3,7,1
7020,20070216,1,2,4,5,12,15,16,23,55,5.0,3,3,12,0,2,36,2
7021,20070226,1,2,3,12,15,22,24,23,79,12.0,1,3,15,0,2,4,1
7022,20070228,1,3,11,13,17,21,24,9,90,13.0,0,6,16,1,4,4,1
7023,20070302,5,7,16,17,19,20,24,1,108,17.0,2,4,16,0,4,9,1
7024,20070305,1,4,9,16,18,20,26,23,94,16.0,0,2,18,3,0,4,1
7025,20070307,9,11,14,16,17,21,30,4,118,16.0,1,4,16,1,2,9,1
7026,20070309,1,6,10,13,22,26,29,17,107,13.0,0,3,14,3,2,2,1
7027,20070312,8,9,17,18,19,24,25,29,120,18.0,3,4,12,1,2,3,1
7028,20070314,2,6,7,20,24,27,30,1,116,20.0,1,2,18,2,2,5,1
7029,20070316,1,6,19,20,22,23,29,13,120,20.0,2,4,19,2,3,3,1
7030,20070319,2,3,11,13,15,24,28,21,96,13.0,1,4,15,0,4,2,1
7031,20070321,5,6,14,16,24,25,30,20,120,16.0,2,2,15,1,1,1,1
7032,20070323,13,15,19,20,21,26,27,2,141,20.0,2,5,11,0,2,27,2
7033,20070326,4,11,15,17,18,20,27,28,112,17.0,1,4,15,2,2,9,2
7034,20070328,1,13,15,17,25,28,30,22,129,17.0,0,5,16,0,2,6,2
7035,20070330,3,7,14,15,17,26,27,10,109,15.0,2,5,16,0,3,3,2
7036,20070402,3,8,10,14,15,17,22,29,89,14.0,1,3,13,3,2,33,1
7037,20070404,6,9,11,12,13,16,27,29,94,12.0,1,4,14,0,2,4,1
7038,20070406,1,9,15,21,24,25,29,13,124,21.0,1,6,16,1,1,1,1
7039,20070409,11,13,15,18,19,22,29,27,127,18.0,1,5,14,1,4,14,1
7040,20070411,1,6,7,8,12,19,24,28,77,8.0,1,3,13,3,2,7,1
7041,20070413,4,9,10,11,20,21,26,17,101,11.0,2,3,13,1,1,7,1
7042,20070416,6,8,12,15,23,25,27,18,116,15.0,0,4,15,0,1,1,4
7043,20070418,3,5,6,9,11,23,27,13,84,9.0,1,6,16,0,4,23,1
7044,20070420,1,4,5,22,23,27,29,17,111,22.0,2,5,17,0,3,5,1
7045,20070423,9,15,18,19,21,25,28,1,135,19.0,1,5,12,1,1,10,2
7046,20070425,4,7,15,17,19,25,29,14,116,17.0,0,6,15,0,4,3,2
7047,20070427,1,5,6,10,18,21,23,25,84,10.0,1,4,16,1,2,7,1
7048,20070430,11,15,17,18,20,22,28,8,131,18.0,1,3,13,0,2,14,1
7049,20070502,5,6,8,11,16,18,21,29,85,11.0,1,3,13,2,2,36,1
7050,20070504,4,11,19,21,26,29,30,18,140,21.0,1,4,17,1,3,1,1
7051,20070507,1,7,10,15,18,26,29,14,106,15.0,0,4,13,1,2,2,2
7052,20070509,2,4,7,8,11,16,18,26,66,8.0,1,2,14,2,3,22,1
7053,20070511,2,5,7,12,13,25,28,10,92,12.0,1,4,18,2,4,2,2
7054,20070514,6,8,9,12,13,14,22,24,84,12.0,2,2,13,0,1,33,1
7055,20070516,1,2,9,10,15,20,28,30,85,10.0,2,3,14,2,1,7,2
7056,20070518,1,5,8,10,21,26,27,24,98,10.0,1,4,19,1,1,8,1
7057,20070521,7,8,9,10,13,21,28,23,96,10.0,1,4,17,0,2,7,1
7058,20070523,1,4,6,8,14,22,25,16,80,8.0,0,2,17,0,0,7,1
7059,20070525,6,7,8,14,16,18,23,2,92,14.0,1,2,14,2,2,4,4
7060,20070528,9,21,22,23,25,29,30,15,159,23.0,2,5,15,0,2,12,1
7061,20070530,12,14,17,19,22,25,28,13,137,19.0,0,3,12,1,2,27,1
7062,20070601,6,7,8,15,17,22,25,16,100,15.0,1,4,15,1,2,4,4
7063,20070604,4,16,17,20,23,25,29,11,134,20.0,1,4,15,0,3,6,1
7064,20070606,2,3,7,9,11,12,24,5,68,9.0,2,4,16,0,4,13,2
7065,20070608,4,9,17,18,20,21,24,2,113,18.0,2,3,17,1,1,9,1
7066,20070611,2,5,15,24,27,28,29,20,130,24.0,1,4,17,0,3,11,1
7067,20070613,3,6,8,10,11,13,17,16,68,10.0,1,4,12,3,4,22,1
7068,20070615,3,5,12,19,22,23,28,26,112,19.0,1,4,18,3,4,3,1
7069,20070618,9,10,11,16,24,25,27,30,122,16.0,2,4,15,1,1,5,1
7070,20070620,1,7,9,10,11,17,24,2,79,10.0,1,5,15,1,3,13,2
7071,20070622,7,9,13,20,21,28,29,6,127,20.0,2,5,17,0,3,3,2
7072,20070625,1,3,5,24,26,27,28,30,114,24.0,1,4,12,1,2,35,1
7073,20070627,4,6,7,11,18,24,26,3,96,11.0,1,2,18,1,2,8,1
7074,20070629,1,2,9,16,17,24,27,8,96,16.0,2,4,14,2,2,2,1
7075,20070702,1,6,19,21,24,25,27,4,123,21.0,1,5,16,1,1,1,1
7076,20070704,4,8,14,19,20,25,29,15,119,19.0,1,3,13,1,2,3,1
7077,20070706,1,2,9,13,17,18,28,30,88,13.0,2,4,15,1,3,4,1
7078,20070709,1,3,7,14,18,21,24,17,88,14.0,0,4,15,1,2,4,1
7079,20070711,4,8,10,21,23,25,26,7,117,21.0,1,3,15,1,1,5,1
7080,20070713,1,4,8,9,12,15,16,18,65,9.0,2,3,11,0,0,36,1
7081,20070716,6,7,8,11,13,15,23,9,83,11.0,1,5,14,0,4,7,4
7082,20070718,2,11,13,14,16,21,27,9,104,14.0,1,4,16,1,3,9,1
7083,20070720,4,5,7,11,14,21,25,18,87,11.0,1,5,15,2,3,7,1
7084,20070723,3,4,5,8,11,12,26,7,69,8.0,2,3,15,0,3,13,1
7085,20070725,2,7,20,22,23,25,30,15,129,22.0,1,3,15,3,3,1,2
7086,20070727,5,6,7,11,23,25,27,20,104,11.0,1,6,14,0,4,34,2
7087,20070730,1,3,10,21,25,27,29,19,116,21.0,0,6,16,1,2,5,1
7088,20070801,3,4,5,10,13,26,28,27,89,10.0,1,3,18,0,3,8,1
7089,20070803,1,13,20,23,25,26,29,15,137,23.0,1,5,17,0,3,12,2
7090,20070806,5,10,12,19,21,24,29,1,120,19.0,0,4,14,1,3,3,1
7091,20070808,8,9,13,15,19,25,28,11,117,15.0,1,5,17,0,2,3,1
7092,20070810,9,10,11,12,14,15,18,16,89,12.0,2,3,9,0,1,33,1
7093,20070813,9,10,15,18,19,22,23,30,116,18.0,3,4,12,2,2,9,1
7094,20070815,2,4,9,10,12,13,15,7,65,10.0,2,3,12,1,2,36,1
7095,20070817,2,14,15,22,24,26,27,18,130,22.0,2,2,16,1,1,6,4
7096,20070820,4,7,8,9,12,14,30,25,84,9.0,1,2,15,0,1,7,1
7097,20070822,3,4,5,7,20,23,25,16,87,7.0,1,5,14,1,4,8,2
7098,20070824,1,13,18,19,24,26,28,30,129,19.0,1,3,18,2,2,6,1
7099,20070827,5,6,16,17,18,21,26,23,109,17.0,2,3,15,0,2,9,1
7100,20070829,9,10,14,15,19,24,27,8,118,15.0,2,4,14,1,1,3,1
7101,20070831,3,4,6,7,10,12,21,9,63,7.0,2,3,14,0,2,22,1
7102,20070903,4,6,10,14,15,22,26,20,97,14.0,1,1,15,2,0,4,4
7103,20070905,6,7,9,16,18,21,23,8,100,16.0,1,4,13,2,2,4,1
7104,20070907,5,11,14,17,18,23,30,9,118,17.0,1,4,13,3,4,3,1
7105,20070910,2,9,15,21,26,27,30,13,130,21.0,1,4,18,2,1,1,2
7106,20070912,2,7,12,18,22,24,26,5,111,18.0,0,1,16,3,2,3,4
7107,20070914,8,9,10,14,15,17,22,29,95,14.0,2,3,12,1,1,33,1
7108,20070917,6,8,17,20,23,24,25,18,123,20.0,1,3,17,0,2,1,1
7109,20070919,2,3,7,12,23,27,28,21,102,12.0,2,4,13,1,4,5,2
7110,20070921,1,10,13,16,18,20,30,24,108,16.0,0,2,16,1,1,9,1
7111,20070924,11,12,16,18,23,29,30,28,139,18.0,2,3,13,3,3,6,1
7112,20070926,2,11,13,17,20,27,28,3,118,17.0,1,4,17,2,4,3,1
7113,20070928,5,8,10,13,24,25,29,11,114,13.0,1,4,16,1,3,5,1
7114,20071001,5,6,16,20,25,27,30,28,129,20.0,1,3,17,2,1,1,1
7115,20071003,1,5,18,19,20,23,27,7,113,19.0,1,5,16,0,3,3,2
7116,20071005,6,8,14,18,26,29,30,5,131,18.0,1,1,17,1,1,1,1
7117,20071008,2,7,9,11,17,20,21,16,87,11.0,1,5,17,1,4,36,2
7118,20071010,2,4,9,19,20,22,29,12,105,19.0,1,3,16,1,3,4,1
7119,20071012,5,8,15,21,22,25,26,10,122,21.0,2,4,15,1,1,3,1
7120,20071015,2,5,7,11,22,23,26,8,96,11.0,1,4,17,1,5,8,2
7121,20071017,2,7,11,18,22,24,27,1,111,18.0,0,3,15,1,3,2,1
7122,20071019,11,16,17,19,21,22,25,23,131,19.0,2,5,11,1,3,14,1
7123,20071022,1,20,21,25,27,28,29,5,151,25.0,2,5,15,1,1,12,1
7124,20071024,1,4,18,19,21,28,29,17,120,19.0,2,4,17,0,2,3,1
7125,20071026,5,11,13,21,23,27,29,6,129,21.0,0,7,11,1,5,1,2
7126,20071029,4,5,7,9,10,17,27,11,79,9.0,2,5,16,0,3,13,2
7127,20071031,5,8,17,19,23,24,28,9,124,19.0,1,4,17,0,4,1,1
7128,20071102,3,4,15,18,22,23,28,21,113,18.0,2,3,18,1,2,3,2
7129,20071105,2,10,18,23,28,29,30,12,140,23.0,1,2,18,2,3,11,2
7130,20071107,6,8,14,18,19,24,28,4,117,18.0,1,1,16,2,1,3,1
7131,20071109,2,4,6,10,13,20,26,22,81,10.0,0,1,16,1,2,7,1
7132,20071112,6,9,10,11,19,21,30,12,106,11.0,1,4,16,0,2,7,1
7133,20071114,9,15,20,21,22,24,29,23,140,21.0,1,4,15,1,1,10,1
7134,20071116,1,5,9,15,24,25,29,21,108,15.0,1,6,15,1,2,5,1
7135,20071119,5,9,10,16,17,24,27,2,108,16.0,2,4,16,2,2,2,1
7136,20071121,1,13,14,17,22,25,27,21,119,17.0,1,5,16,1,2,10,1
7137,20071123,3,8,13,14,17,19,26,23,100,14.0,1,4,16,1,4,9,1
7138,20071126,1,12,13,16,17,18,28,20,105,16.0,2,3,13,0,2,14,1
7139,20071128,6,11,14,16,19,28,30,3,124,16.0,0,2,15,1,2,3,1
7140,20071130,1,7,12,19,20,23,28,8,110,19.0,1,4,17,3,3,3,2
7141,20071203,1,7,12,14,21,22,24,2,101,14.0,1,3,18,1,1,9,1
7142,20071205,1,4,6,8,14,16,20,25,69,8.0,0,1,14,0,0,36,1
7143,20071207,5,10,15,16,18,21,27,17,112,16.0,1,4,14,3,1,9,4
7144,20071210,4,5,7,14,16,24,26,30,96,14.0,1,2,14,1,2,2,4
7145,20071212,1,3,11,12,15,18,21,24,81,12.0,1,5,16,0,2,33,2
7146,20071214,7,10,12,20,22,27,29,30,127,20.0,0,3,14,0,2,3,1
7147,20071217,2,7,9,10,16,20,28,13,92,10.0,1,2,18,1,2,7,1
7148,20071219,1,2,5,13,18,22,27,29,88,13.0,1,4,17,0,3,4,1
7149,20071221,2,13,15,16,19,23,26,27,114,16.0,1,4,14,0,4,10,2
7150,20071224,9,11,13,15,21,23,24,4,116,15.0,1,6,13,1,3,3,2
7151,20071226,5,8,11,19,24,26,28,12,121,19.0,0,3,19,2,3,5,1
7152,20071228,7,10,15,18,22,23,24,20,119,18.0,1,3,16,1,2,3,4
7153,20071231,2,8,13,20,27,29,30,19,129,20.0,1,3,20,1,3,1,1
8001,20080102,2,4,5,7,12,14,16,1,60,7.0,1,2,12,1,3,36,4
8002,20080104,6,16,17,18,19,24,25,10,125,18.0,2,3,14,1,2,10,1
8003,20080107,6,7,8,12,22,28,29,4,112,12.0,2,2,15,0,2,2,4
8004,20080109,1,6,12,15,23,25,28,8,110,15.0,0,4,16,1,1,1,2
8005,20080111,1,6,9,12,13,14,30,23,85,12.0,1,3,17,1,1,4,1
8006,20080114,3,12,14,18,20,28,29,19,124,18.0,1,2,14,1,2,10,1
8007,20080116,2,5,10,11,17,18,20,25,83,11.0,2,3,14,0,4,36,1
8008,20080118,1,5,6,14,20,23,28,12,97,14.0,1,3,16,1,2,2,1
8009,20080121,3,6,10,20,22,24,28,30,113,20.0,0,1,16,2,1,2,1
8010,20080123,1,2,11,14,21,23,27,17,99,14.0,1,5,17,1,3,2,1
8011,20080125,3,9,17,20,24,26,27,15,126,20.0,1,4,17,1,2,1,1
8012,20080128,1,6,7,8,19,22,28,23,91,8.0,1,3,18,2,2,7,1
8013,20080130,11,15,16,20,25,27,29,28,143,20.0,1,5,13,1,2,6,1
8014,20080201,6,9,14,20,23,24,25,15,121,20.0,1,3,16,1,1,1,1
8015,20080204,1,6,8,12,16,17,18,10,78,12.0,1,2,14,1,1,33,1
8016,20080213,3,9,12,15,20,21,28,24,108,15.0,1,4,15,1,1,9,2
8017,20080215,6,10,14,17,18,24,25,21,114,17.0,2,2,13,1,1,3,1
8018,20080218,2,4,8,16,21,24,29,30,104,16.0,0,2,17,0,2,2,1
8019,20080220,1,5,6,13,14,21,22,16,82,13.0,3,4,13,0,2,33,1
8020,20080222,5,10,13,20,26,27,28,19,129,20.0,1,3,17,0,2,1,1
8021,20080225,1,11,12,13,14,25,27,18,103,13.0,1,5,12,0,2,3,1
8022,20080227,2,4,16,20,22,24,25,27,113,20.0,1,1,16,0,1,3,1
8023,20080229,1,2,3,7,13,29,30,8,85,7.0,2,5,16,1,5,8,2
8024,20080303,2,4,10,14,18,20,28,25,96,14.0,0,0,11,1,1,4,1
8025,20080305,3,6,9,10,12,15,30,29,85,10.0,1,3,15,1,1,7,1
8026,20080307,5,7,21,23,24,25,27,10,132,23.0,1,6,12,1,3,11,2
8027,20080310,6,7,8,12,18,22,28,17,101,12.0,1,1,14,0,1,4,4
8028,20080312,7,12,13,15,17,22,25,21,111,15.0,1,5,14,2,3,14,2
8029,20080314,3,6,9,11,23,28,30,8,110,11.0,0,4,16,2,3,34,1
8030,20080317,4,8,11,12,22,25,26,5,108,12.0,2,2,14,0,1,2,1
8031,20080319,2,4,7,8,17,22,26,23,86,8.0,1,2,16,2,3,7,1
8032,20080321,2,4,8,10,12,28,29,16,93,10.0,1,1,16,1,2,8,1
8033,20080324,4,5,9,18,20,24,30,12,110,18.0,1,2,18,1,1,2,1
8034,20080326,3,6,9,12,15,22,27,5,94,12.0,0,4,14,1,1,4,1
8035,20080328,8,11,14,15,26,28,30,5,132,15.0,1,2,17,1,1,1,1
8036,20080331,3,6,7,10,17,22,26,13,91,10.0,1,3,15,3,3,7,1
8037,20080402,3,14,16,21,22,23,27,25,126,21.0,1,4,14,1,2,10,1
8038,20080404,2,5,6,22,23,24,29,18,111,22.0,2,3,17,0,4,5,4
8039,20080407,4,5,6,11,18,21,28,20,93,11.0,1,3,16,0,2,7,1
8040,20080409,5,6,13,20,24,25,30,8,123,20.0,2,3,17,1,2,1,1
8041,20080411,1,6,7,10,17,18,23,22,82,10.0,2,4,15,2,3,7,1
8042,20080414,6,9,15,20,21,23,29,3,123,20.0,1,5,14,2,2,3,2
8043,20080416,1,4,14,17,24,27,28,9,115,17.0,1,3,14,1,1,1,1
8044,20080418,2,5,7,15,17,18,26,9,90,15.0,1,4,15,0,4,4,2
8045,20080421,1,2,10,12,18,28,30,15,101,12.0,1,1,16,0,1,2,1
8046,20080423,3,5,6,15,18,20,23,21,90,15.0,1,4,14,0,3,4,1
8047,20080425,7,8,9,14,16,17,25,2,96,14.0,2,4,13,1,2,4,1
8048,20080428,2,4,8,13,14,16,22,24,79,13.0,1,1,14,0,2,33,1
8049,20080430,1,4,5,6,14,28,29,21,87,6.0,2,3,17,0,2,8,1
8050,20080502,6,11,14,20,21,22,24,23,118,20.0,1,2,16,1,1,9,1
8051,20080505,3,7,12,14,15,16,19,2,86,14.0,1,4,12,1,3,24,4
8052,20080507,8,16,21,25,26,28,30,5,154,25.0,1,2,16,1,0,12,1
8053,20080509,6,9,11,14,18,25,26,8,109,14.0,1,3,16,2,1,2,1
8054,20080512,1,2,15,17,21,26,28,9,110,17.0,1,4,18,1,2,3,2
8055,20080514,7,8,14,21,26,27,30,15,133,21.0,2,3,16,1,1,1,1
8056,20080516,4,15,19,23,27,28,30,1,146,23.0,1,4,16,0,2,12,2
8057,20080519,8,12,13,17,21,22,28,25,121,17.0,2,3,14,1,2,14,1
8058,20080521,11,12,15,18,20,21,27,3,124,18.0,2,4,13,1,1,14,2
8059,20080523,1,14,16,26,28,29,30,20,144,26.0,1,2,14,2,1,12,1
8060,20080526,8,9,11,12,18,22,23,6,103,12.0,3,3,14,0,2,4,1
8061,20080528,2,11,15,16,17,22,23,27,106,16.0,2,4,15,1,4,9,1
8062,20080530,2,14,17,19,25,27,28,26,132,19.0,1,4,17,0,3,6,1
8063,20080602,1,9,18,22,24,25,26,10,125,22.0,1,3,16,0,0,1,1
8064,20080604,1,16,17,23,25,26,30,15,138,23.0,2,4,18,1,2,12,1
8065,20080606,7,13,16,20,22,23,24,29,125,20.0,1,3,14,1,3,10,4
8066,20080609,5,6,12,23,24,25,27,14,122,23.0,2,4,16,0,2,11,1
8067,20080611,6,9,15,16,18,21,24,7,109,16.0,1,3,12,1,0,9,1
8068,20080613,9,10,13,16,17,18,22,30,105,16.0,2,3,11,0,2,24,1
8069,20080616,1,2,7,13,22,23,28,4,96,13.0,2,4,14,3,4,2,2
8070,20080618,15,18,25,26,28,29,30,17,171,26.0,2,3,13,0,1,25,2
8071,20080620,12,14,18,19,23,25,26,22,137,19.0,2,3,13,1,2,32,1
8072,20080623,7,8,10,16,17,19,21,4,98,16.0,2,4,14,1,3,33,1
8073,20080625,4,6,7,8,18,20,29,14,92,8.0,1,2,15,1,2,7,4
8074,20080627,2,5,19,22,24,25,29,6,126,22.0,1,4,16,2,4,1,1
8075,20080630,2,8,9,14,15,22,27,24,97,14.0,2,3,12,1,1,4,1
8076,20080702,2,15,18,19,21,22,27,17,124,19.0,2,4,16,1,2,14,1
8077,20080704,5,10,14,20,24,25,30,3,128,20.0,1,2,13,1,1,1,1
8078,20080707,15,19,20,23,24,26,29,16,156,23.0,2,4,12,1,3,31,2
8079,20080709,4,8,12,14,23,26,27,5,114,14.0,1,2,17,0,1,1,4
8080,20080711,1,2,4,9,15,18,29,19,78,9.0,1,4,17,1,2,7,2
8081,20080714,7,10,11,14,20,23,24,25,109,14.0,2,3,12,1,3,2,2
8082,20080716,5,10,13,16,17,25,29,28,115,16.0,1,5,16,0,4,3,1
8083,20080718,1,16,17,21,23,28,29,30,135,21.0,2,5,16,2,3,6,1
8084,20080721,12,15,18,22,23,29,30,27,149,22.0,2,3,14,1,2,32,4
8085,20080723,9,11,14,18,19,24,25,30,120,18.0,2,4,15,3,2,3,1
8086,20080725,4,7,10,14,16,23,25,21,99,14.0,0,3,15,0,2,2,4
8087,20080728,10,11,15,17,25,28,30,24,136,17.0,1,4,17,0,2,1,2
8088,20080730,2,4,10,12,14,17,21,22,80,12.0,0,2,15,0,2,33,1
8089,20080801,2,3,4,5,19,21,27,11,81,5.0,1,5,15,2,4,7,1
8090,20080804,8,10,11,12,16,19,28,15,104,12.0,1,2,15,1,2,4,1
8091,20080806,1,6,8,10,11,20,27,24,83,10.0,1,3,15,3,1,13,1
8092,20080808,3,6,10,12,17,22,29,16,99,12.0,0,3,16,4,3,4,1
8093,20080811,14,16,17,18,20,22,23,9,130,18.0,2,2,9,0,2,18,1
8094,20080813,1,3,9,13,18,26,29,28,99,13.0,0,5,19,0,3,2,1
8095,20080815,1,5,9,11,20,28,29,22,103,11.0,1,5,17,1,3,8,1
8096,20080818,9,10,18,25,26,27,28,16,143,25.0,2,3,12,0,0,11,1
8097,20080820,2,13,14,16,21,22,28,8,116,16.0,2,2,15,0,2,14,1
8098,20080822,2,6,11,13,22,26,28,4,108,13.0,0,2,15,1,3,2,1
8099,20080825,3,10,14,19,21,24,25,13,116,19.0,1,4,16,0,2,3,1
8100,20080827,12,14,15,18,19,24,26,29,128,18.0,2,2,13,2,1,27,1
8101,20080829,1,3,9,12,21,25,29,10,100,12.0,0,6,17,1,2,2,1
8102,20080901,1,10,11,18,23,26,30,27,119,18.0,1,3,18,1,2,5,2
8103,20080903,7,9,10,12,14,28,29,15,109,12.0,2,3,15,0,2,2,1
8104,20080905,4,17,22,23,24,28,29,3,147,23.0,2,3,14,2,3,12,1
8105,20080908,2,11,13,19,23,24,26,3,118,19.0,1,4,18,2,5,1,1
8106,20080910,1,2,12,17,19,24,28,14,103,17.0,1,3,17,2,3,3,1
8107,20080912,3,11,15,16,19,20,26,9,110,16.0,2,4,16,0,3,9,1
8108,20080915,6,10,13,18,24,29,30,16,130,18.0,1,2,17,1,2,1,1
8109,20080917,2,13,15,18,23,25,30,10,126,18.0,0,4,15,2,3,6,2
8110,20080919,4,5,11,12,14,15,23,16,84,12.0,3,4,13,1,3,4,1
8111,20080922,6,7,8,9,18,26,30,24,104,9.0,1,2,17,0,1,8,1
8112,20080924,3,9,20,24,25,26,28,18,135,24.0,1,3,16,0,1,11,1
8113,20080926,2,3,5,6,13,23,26,20,78,6.0,2,4,15,0,5,8,1
8114,20080929,1,9,13,17,23,28,29,8,120,17.0,1,6,16,2,4,1,2
8115,20081001,2,8,10,18,19,25,26,23,108,18.0,2,2,14,1,2,2,1
8116,20081003,11,14,19,20,21,22,27,7,134,20.0,1,4,12,1,2,14,1
8117,20081006,2,13,15,19,20,21,29,26,119,19.0,1,5,17,0,4,14,2
8118,20081008,1,5,14,23,24,26,27,22,120,23.0,2,4,15,1,2,11,1
8119,20081010,6,12,14,15,17,25,27,5,116,15.0,1,4,14,0,1,10,1
8120,20081013,5,10,13,16,17,25,28,19,114,16.0,1,4,14,0,3,3,1
8121,20081015,2,5,12,13,16,20,29,24,97,13.0,1,3,16,0,4,9,1
8122,20081017,6,7,10,11,16,22,27,15,99,11.0,2,3,14,1,2,7,1
8123,20081020,4,7,10,11,15,26,27,22,100,11.0,2,4,16,0,2,8,2
8124,20081022,2,3,7,10,11,23,26,4,82,10.0,2,4,16,0,5,23,2
8125,20081024,2,5,10,12,13,18,25,20,85,12.0,1,3,15,0,3,4,1
8126,20081027,1,14,16,17,19,21,26,10,114,17.0,1,4,15,1,2,14,1
8127,20081029,3,4,5,10,17,19,22,30,80,10.0,1,4,15,1,4,36,1
8128,20081031,2,7,8,9,10,16,30,28,82,9.0,1,2,14,1,2,13,1
8129,20081103,6,7,11,13,17,18,24,5,96,13.0,2,4,12,1,4,4,1
8130,20081105,8,10,15,18,23,29,30,19,133,18.0,1,3,17,4,2,1,4
8131,20081107,8,9,12,15,18,23,26,17,111,15.0,1,3,14,1,1,3,2
8132,20081110,8,12,17,19,20,29,30,26,135,19.0,2,3,16,1,3,10,1
8133,20081112,6,7,10,11,20,21,25,8,100,11.0,3,4,12,1,2,7,1
8134,20081114,1,8,9,10,14,18,19,27,79,10.0,2,3,13,2,1,36,1
8135,20081117,2,10,14,21,23,25,30,11,125,21.0,0,3,16,1,2,1,1
8136,20081119,1,9,10,22,24,25,28,23,119,22.0,2,3,18,0,0,5,1
8137,20081121,3,5,7,10,22,23,27,24,97,10.0,1,5,16,0,4,8,2
8138,20081124,2,3,6,7,11,15,26,13,70,7.0,2,4,14,1,4,13,2
8139,20081126,1,4,15,19,20,26,29,6,114,19.0,1,4,17,0,2,3,2
8140,20081128,2,15,16,20,22,25,26,3,126,20.0,2,2,16,1,1,10,1
8141,20081201,3,10,12,13,17,21,30,15,106,13.0,1,4,16,1,3,9,1
8142,20081203,5,7,12,17,18,25,26,28,110,17.0,2,4,16,2,3,3,2
8143,20081205,3,8,17,22,24,25,29,6,128,22.0,1,4,16,2,3,1,1
8144,20081208,5,7,12,14,18,22,29,19,107,14.0,0,3,14,2,3,9,4
8145,20081210,1,3,10,17,18,19,23,4,91,17.0,1,5,16,0,4,4,1
8146,20081212,1,4,6,18,22,24,26,8,101,18.0,0,1,16,2,0,2,1
8147,20081215,1,10,13,15,18,20,28,2,105,15.0,0,3,15,0,1,9,2
8148,20081217,2,5,6,9,19,20,27,26,88,9.0,2,4,15,1,3,7,1
8149,20081219,5,6,8,14,16,28,30,3,107,14.0,1,1,16,0,1,2,1
8150,20081222,1,3,10,14,15,17,29,4,89,14.0,1,5,16,0,3,4,1
8151,20081224,2,5,10,15,18,21,27,28,98,15.0,0,4,14,2,2,4,2
8152,20081226,6,8,12,14,17,19,29,28,105,14.0,0,3,16,0,3,9,1
8153,20081229,2,9,13,16,20,25,26,29,111,16.0,1,3,17,1,2,3,1
8154,20081231,5,6,7,11,20,26,27,3,102,11.0,2,4,15,0,3,8,1
9001,20090102,2,3,4,14,15,23,26,8,87,14.0,2,3,15,0,3,2,2
9002,20090105,10,14,15,20,23,25,29,11,136,20.0,1,4,14,1,2,6,2
9003,20090107,1,9,10,12,15,19,21,17,87,12.0,1,5,15,0,1,33,2
9004,20090109,10,12,16,18,21,24,26,6,127,18.0,0,1,12,2,0,10,1
9005,20090112,6,8,13,18,22,28,29,1,124,18.0,1,2,17,0,2,3,1
9006,20090114,4,8,11,16,20,25,26,9,110,16.0,1,2,17,2,1,2,1
9007,20090116,3,5,6,11,19,20,25,12,89,11.0,2,5,15,1,4,7,1
9008,20090119,1,2,4,15,20,22,23,13,87,15.0,2,3,15,1,2,4,1
9009,20090121,5,8,10,19,22,24,28,6,116,19.0,0,2,15,2,2,2,1
9010,20090123,11,12,21,23,24,26,28,9,145,23.0,2,3,15,1,2,12,1
9011,20090202,1,3,4,17,20,23,30,18,98,17.0,1,4,16,1,3,2,2
9012,20090204,1,2,7,10,17,24,29,6,90,10.0,1,4,18,2,4,8,1
9013,20090206,6,8,12,15,22,28,29,20,120,15.0,1,2,16,0,1,3,4
9014,20090209,6,7,10,12,21,22,28,23,106,12.0,2,2,17,0,1,4,4
9015,20090211,9,13,14,22,26,27,28,16,139,22.0,2,3,14,1,1,6,1
9016,20090213,5,11,15,17,20,23,29,1,120,17.0,0,6,13,2,5,3,2
9017,20090216,12,15,18,21,26,27,30,24,149,21.0,1,3,12,1,0,32,2
